Student_ID,Attendance (%),Study_Hours_per_Week,Sleep_Hours_per_Night,Extracurricular_Activities
S1000,97.36,10.3,5.9,Yes
S1001,97.71,27.1,4.3,No
S1002,99.52,12.4,6.1,Yes
S1003,90.38,25.5,4.9,No
S1004,59.41,13.3,4.5,Yes
S1005,60.6,25.3,5.6,Yes
S1006,67.01,22.1,4,Yes
S1007,65.91,16.7,7.8,Yes
S1008,97.83,18.1,4.8,No
S1009,89.45,9.4,7.1,Yes
S1010,86.2,7.9,8.2,Yes
S1011,59.3,22.9,8.6,Yes
S1012,95.48,26.2,6.8,No
S1013,91.39,23,7.9,No
S1014,58.18,27.8,6.3,No
S1015,93.56,27.3,6.5,Yes
S1016,63.61,24.5,6.7,No
S1017,54.04,27.5,7.4,No
S1018,82.84,9.2,7.3,Yes
S1019,82.69,23.3,7.9,No
S1020,54.75,23.8,7.1,No
S1021,65.94,8.8,8.4,No
S1022,99.64,27.7,7.5,No
S1023,83.92,5.2,8.6,Yes
S1024,86.5,15.9,7.8,No
S1025,60.65,5.5,7.7,No
S1026,53.94,18.1,8.3,No
S1027,63.85,15.3,7.3,No
S1028,62.44,20.6,4.9,Yes
S1029,61.73,24.2,4.4,Yes
S1030,59.64,24.2,5.6,Yes
S1031,78.74,23.1,8.1,Yes
S1032,66.41,7.5,4.1,Yes
S1033,91.02,15.4,4.8,No
S1034,59.2,25.4,4.5,No
S1035,73.23,21.4,4.2,No
S1036,50.68,22,8.1,Yes
S1037,74.08,10.7,5.4,Yes
S1038,52.79,13.1,7.6,Yes
S1039,98.89,28.9,4.7,No
S1040,89.53,26.2,6,Yes
S1041,74.51,9.1,4.6,Yes
S1042,54.33,18.6,4,No
S1043,79.62,17.3,7.1,Yes
S1044,87.94,16.1,6.4,No
S1045,59.54,16.8,6.1,Yes
S1046,78.41,21.1,4.4,Yes
S1047,90.71,29.2,6.9,No
S1048,88.41,26.9,7.9,No
S1049,90.15,26.9,4.3,No
S1050,93.97,22.6,6.1,Yes
S1051,96.88,5.4,5.6,No
S1052,70.28,16,8.5,Yes
S1053,78.44,17.8,5.3,No
S1054,89.53,26.1,8.7,Yes
S1055,84.86,28.1,8.1,No
S1056,99.78,16.3,4.5,No
S1057,50.68,12.5,6.4,Yes
S1058,67.76,13.4,7.2,No
S1059,64.05,19.5,7,No
S1060,63.12,11.9,7.4,Yes
S1061,61.13,27.8,6.1,Yes
S1062,85.46,15.5,8.5,Yes
S1063,54.24,29.8,5.4,Yes
S1064,87.08,7.7,4.5,No
S1065,84.67,9.7,8.9,No
S1066,62.54,17.8,7.3,Yes
S1067,62.64,26.7,7.3,Yes
S1068,81.44,13.8,8.1,Yes
S1069,88.11,25.9,6.1,No
S1070,93.82,15.6,5.9,No
S1071,92.61,26.3,8.7,Yes
S1072,98.24,11.9,5.9,No
S1073,79.07,16.8,4.4,Yes
S1074,95.43,12,5.5,No
S1075,90.43,10.4,8.4,No
S1076,94.73,15.5,4.5,No
S1077,50.58,13.4,7.6,Yes
S1078,98.3,24.7,5.3,Yes
S1079,73.68,23.7,7.7,Yes
S1080,89.91,14,6.6,No
S1081,56.36,29.8,7.2,No
S1082,69.8,29.3,5.2,Yes
S1083,63.57,27.9,4.8,Yes
S1084,64.58,19.7,4.3,Yes
S1085,56.16,15.3,8.1,No
S1086,90.29,12.8,7.6,No
S1087,50.46,5.4,5.5,No
S1088,65.63,20.8,8.2,No
S1089,58.72,18.8,8.2,Yes
S1090,79.45,20.7,4.7,No
S1091,62.71,19.4,7.6,Yes
S1092,62.95,8.4,5.5,No
S1093,74.42,22.4,6.3,Yes
S1094,82.63,14,6.2,Yes
S1095,56.07,17.9,7,No
S1096,58.78,14.1,5.7,No
S1097,62.36,5.5,4.4,No
S1098,98.69,26.9,7.4,No
S1099,69.86,8.7,8.8,Yes
S1100,79.95,19.6,7.3,No
S1101,62.08,27.1,6.7,No
S1102,74.52,10.5,4.8,No
S1103,53.71,15.3,7.1,No
S1104,51.74,14.4,7.1,No
S1105,73.44,7.2,7.1,No
S1106,69.93,15.6,8.5,Yes
S1107,56.84,17,7.6,Yes
S1108,84.38,5.7,7.9,Yes
S1109,99.65,17.2,5.6,No
S1110,69.78,7.3,5.4,Yes
S1111,81.23,27.3,5,No
S1112,98.15,21.3,7.9,Yes
S1113,91.58,6.4,7.5,Yes
S1114,73.18,25.7,5.7,No
S1115,86.87,14,4.7,Yes
S1116,56.41,10.6,8.2,No
S1117,75.61,11.3,5.9,No
S1118,63.95,19.9,4.9,Yes
S1119,58.06,7,4.7,Yes
S1120,71.31,6.5,8.6,Yes
S1121,56.55,20.7,4.7,Yes
S1122,84.95,29.5,5.8,Yes
S1123,72.81,17.1,7.2,No
S1124,76.56,15.3,6,Yes
S1125,57.32,28.7,6.4,No
S1126,56.99,11,8,No
S1127,79.17,11,9,No
S1128,99.25,27.6,6.3,Yes
S1129,54.81,21.2,5.9,Yes
S1130,64.29,6.3,6,Yes
S1131,93.47,21.8,5.8,No
S1132,53.61,25.5,6.4,Yes
S1133,93.79,11.8,5.7,Yes
S1134,76.21,14.6,6.3,Yes
S1135,70.41,9.9,8.7,No
S1136,65.48,20.8,5.4,No
S1137,64.86,21.6,7.3,Yes
S1138,65.29,6.7,6.4,Yes
S1139,94.24,21.9,7.7,Yes
S1140,86.19,21.5,6.4,No
S1141,83.49,5.9,4.8,Yes
S1142,89.94,18.9,8.4,No
S1143,62.86,20.3,7.4,No
S1144,80.9,15.8,6.6,No
S1145,73,27.5,8.2,No
S1146,89.12,13.2,8.9,No
S1147,65.46,6.7,6,No
S1148,82.16,21.8,5.8,Yes
S1149,94.11,20.1,7.8,No
S1150,70.11,29.7,6.3,No
S1151,53.33,10.8,4.4,No
S1152,75.8,14.9,5.8,Yes
S1153,67.3,16.5,8,No
S1154,83.61,26.5,7.5,No
S1155,97.55,15.4,8.3,No
S1156,74.28,24.3,4.7,No
S1157,73.31,8.9,5.2,Yes
S1158,82.73,15.2,5.1,No
S1159,55.17,8.9,8.9,No
S1160,62.68,28.7,4.8,No
S1161,95.95,9.4,7,Yes
S1162,83.5,15.5,7.2,Yes
S1163,50.67,7.1,7.1,No
S1164,60.23,28,7.5,Yes
S1165,84.14,20.6,6.4,Yes
S1166,88.22,29.1,4.4,No
S1167,91.99,6.1,7.5,No
S1168,64.61,9.4,5.4,No
S1169,96.55,14.5,4.4,Yes
S1170,77.65,20.5,4.8,Yes
S1171,84.83,13.2,5.4,Yes
S1172,79.84,22.8,6.2,Yes
S1173,56.14,9.1,8.3,No
S1174,98.16,20,6.7,No
S1175,56.14,14.9,6.4,Yes
S1176,62.74,17.7,5,No
S1177,90.68,19.2,8.8,No
S1178,80.93,6.5,8.5,No
S1179,91.91,28.1,8.1,Yes
S1180,75.79,24.7,5.6,No
S1181,68.85,16.1,6.8,No
S1182,96.09,18.7,5.9,Yes
S1183,51.81,5.8,6,No
S1184,92.81,17.4,4.4,No
