Student_ID,Parent_Education_Level,Family_Income_Level,Internet_Access_at_Home,Stress_Level (1-10)
S1000,Master's,Medium,No,1
S1001,High School,Low,No,4
S1002,High School,Low,No,9
S1003,High School,Low,Yes,8
S1004,Master's,Medium,No,6
S1005,None,Medium,No,6
S1006,Bachelor's,High,No,2
S1007,None,Low,Yes,5
S1008,PhD,High,Yes,9
S1009,None,High,No,8
S1010,High School,Low,Yes,4
S1011,None,Low,No,7
S1012,None,Medium,No,9
S1013,PhD,Medium,No,5
S1014,Bachelor's,High,Yes,2
S1015,Bachelor's,Low,No,2
S1016,High School,High,Yes,8
S1017,Bachelor's,Medium,No,8
S1018,High School,High,Yes,8
S1019,Master's,Low,Yes,5
S1020,PhD,High,No,2
S1021,None,High,No,10
S1022,PhD,Low,Yes,8
S1023,Bachelor's,Low,Yes,4
S1024,None,Low,Yes,9
S1025,PhD,Medium,No,10
S1026,PhD,High,No,6
S1027,High School,High,Yes,10
S1028,Master's,Low,No,7
S1029,PhD,Low,Yes,3
S1030,None,Medium,Yes,2
S1031,Master's,Low,No,2
S1032,Master's,Medium,No,3
S1033,None,Medium,No,7
S1034,Master's,Medium,Yes,8
S1035,Bachelor's,Low,No,4
S1036,Master's,High,Yes,3
S1037,High School,Low,Yes,7
S1038,Master's,High,No,3
S1039,PhD,Low,No,8
S1040,Master's,Medium,No,4
S1041,High School,High,Yes,8
S1042,High School,Low,No,2
S1043,Master's,Low,Yes,8
S1044,Bachelor's,High,Yes,8
S1045,Master's,Medium,Yes,10
S1046,None,Medium,No,3
S1047,High School,High,No,2
S1048,Master's,Low,No,7
S1049,Bachelor's,Medium,Yes,9
S1050,Bachelor's,Low,Yes,10
S1051,Bachelor's,Medium,Yes,1
S1052,PhD,Low,No,5
S1053,PhD,Medium,No,3
S1054,PhD,Low,Yes,9
S1055,None,Low,Yes,8
S1056,None,Medium,Yes,9
S1057,Master's,Medium,Yes,9
S1058,PhD,Low,Yes,10
S1059,PhD,High,Yes,3
S1060,None,Low,No,7
S1061,Bachelor's,High,Yes,5
S1062,Bachelor's,Medium,No,6
S1063,High School,High,Yes,8
S1064,Master's,Low,Yes,10
S1065,Master's,Medium,No,8
S1066,PhD,Medium,No,7
S1067,None,High,No,1
S1068,Master's,Medium,No,1
S1069,Bachelor's,High,Yes,6
S1070,None,Low,Yes,9
S1071,PhD,Medium,Yes,8
S1072,PhD,Low,Yes,1
S1073,Master's,High,No,8
S1074,Master's,High,Yes,5
S1075,High School,Low,No,2
S1076,Master's,High,Yes,7
S1077,Master's,High,Yes,2
S1078,Bachelor's,Low,No,4
S1079,Bachelor's,Low,Yes,4
S1080,None,Medium,Yes,5
S1081,Master's,Medium,No,6
S1082,Master's,Low,Yes,2
S1083,PhD,Medium,Yes,8
S1084,Bachelor's,High,Yes,9
S1085,PhD,Medium,No,3
S1086,Master's,Medium,No,7
S1087,Bachelor's,High,Yes,4
S1088,Master's,Low,Yes,10
S1089,High School,High,Yes,4
S1090,PhD,Medium,Yes,1
S1091,Bachelor's,High,No,5
S1092,Bachelor's,Low,No,6
S1093,Master's,Medium,No,5
S1094,Master's,Low,Yes,6
S1095,None,Low,No,3
S1096,None,High,No,2
S1097,PhD,Low,Yes,5
S1098,Bachelor's,High,No,6
S1099,Master's,High,Yes,10
S1100,PhD,Medium,Yes,6
S1101,Bachelor's,Low,Yes,5
S1102,Master's,Low,No,2
S1103,None,Low,No,1
S1104,Bachelor's,Low,Yes,10
S1105,Master's,Low,No,6
S1106,PhD,High,No,1
S1107,PhD,Medium,Yes,1
S1108,High School,Medium,No,6
S1109,Bachelor's,Low,No,1
S1110,PhD,High,Yes,2
S1111,Bachelor's,High,Yes,1
S1112,PhD,Low,No,7
S1113,Bachelor's,Medium,Yes,4
S1114,Bachelor's,Low,Yes,4
S1115,Bachelor's,High,Yes,4
S1116,High School,Low,No,5
S1117,None,Low,Yes,9
S1118,Bachelor's,Low,Yes,5
S1119,None,High,No,10
S1120,None,Medium,No,2
S1121,None,Low,No,8
S1122,PhD,Medium,No,8
S1123,Master's,Medium,Yes,9
S1124,None,High,No,4
S1125,Bachelor's,Low,Yes,3
S1126,Master's,Low,Yes,10
S1127,PhD,Medium,No,6
S1128,High School,Medium,No,1
S1129,None,Medium,No,6
S1130,None,High,Yes,5
S1131,PhD,High,Yes,1
S1132,Bachelor's,Medium,No,6
S1133,Bachelor's,High,Yes,3
S1134,Master's,High,Yes,8
S1135,Master's,High,No,3
S1136,Bachelor's,Low,No,3
S1137,High School,High,No,7
S1138,Bachelor's,Medium,No,1
S1139,High School,Low,Yes,10
S1140,PhD,Medium,No,10
S1141,High School,High,No,8
S1142,PhD,Medium,Yes,4
S1143,None,Medium,No,5
S1144,Bachelor's,High,Yes,5
S1145,Master's,Medium,Yes,4
S1146,None,High,Yes,1
S1147,Master's,High,Yes,3
S1148,High School,High,No,8
S1149,Bachelor's,Medium,Yes,2
S1150,Bachelor's,Medium,No,8
S1151,Bachelor's,Medium,Yes,4
S1152,None,Low,Yes,9
S1153,PhD,Medium,No,8
S1154,High School,High,Yes,8
S1155,None,High,No,4
S1156,None,Low,Yes,2
S1157,PhD,Low,Yes,8
S1158,Master's,Low,Yes,7
S1159,Master's,Low,Yes,2
S1160,Bachelor's,Medium,No,7
S1161,None,Medium,No,1
S1162,PhD,High,Yes,6
S1163,PhD,Medium,No,7
S1164,Master's,Low,No,2
S1165,PhD,Low,Yes,2
S1166,Master's,Low,No,8
S1167,Master's,Low,Yes,2
S1168,None,Medium,No,10
S1169,High School,High,Yes,2
S1170,Bachelor's,High,No,5
S1171,High School,Medium,Yes,4
S1172,PhD,Low,No,1
S1173,High School,Medium,No,8
S1174,High School,Medium,No,4
S1175,Master's,High,No,9
S1176,None,Medium,Yes,2
S1177,PhD,Low,No,2
S1178,Bachelor's,Medium,Yes,6
S1179,Master's,High,No,2
S1180,Bachelor's,High,No,2
S1181,None,High,No,6
S1182,High School,Medium,No,6
S1183,High School,Low,Yes,8
S1184,None,Low,Yes,10
S1185,PhD,Low,No,1
S1186,Master's,High,No,1
S1187,High School,High,Yes,7
S1188,None,High,No,9
S1189,Master's,Low,No,7
S1190,Master's,High,No,4
S1191,None,High,Yes,9
S1192,High School,Medium,Yes,6
S1193,PhD,High,Yes,10
S1194,High School,High,No,1
S1195,High School,Low,Yes,6
S1196,High School,Low,No,10
S1197,High School,Medium,Yes,6
S1198,Bachelor's,Low,Yes,1
S1199,None,Low,No,8
S1200,PhD,High,No,5
S1201,PhD,Medium,Yes,4
S1202,Bachelor's,High,Yes,10
S1203,PhD,High,Yes,1
S1204,Bachelor's,Medium,Yes,5
S1205,Bachelor's,Low,No,1
S1206,PhD,Medium,No,3
S1207,PhD,High,Yes,10
S1208,High School,Medium,Yes,1
S1209,Bachelor's,Low,No,10
S1210,Master's,Medium,Yes,3
S1211,None,High,Yes,2
S1212,High School,High,No,4
S1213,Bachelor's,High,Yes,7
S1214,High School,High,Yes,1
S1215,High School,Low,No,7
S1216,None,Medium,No,6
S1217,PhD,Medium,No,4
S1218,PhD,Medium,No,9
S1219,None,Low,No,7
S1220,High School,Medium,No,10
S1221,Bachelor's,Medium,No,10
S1222,PhD,Low,Yes,5
S1223,Master's,High,No,2
S1224,Bachelor's,High,No,1
S1225,High School,Low,No,2
S1226,Master's,Low,No,9
S1227,Bachelor's,High,No,2
S1228,None,Low,No,5
S1229,Master's,Medium,Yes,8
S1230,High School,Medium,No,8
S1231,Master's,Low,Yes,9
S1232,None,High,No,4
S1233,PhD,Medium,Yes,10
S1234,PhD,High,Yes,7
S1235,PhD,Medium,Yes,9
S1236,None,High,No,7
S1237,Bachelor's,Low,Yes,1
S1238,None,Medium,Yes,6
S1239,Master's,Medium,No,2
S1240,Bachelor's,Medium,No,7
S1241,PhD,Low,No,9
S1242,None,Low,Yes,7
S1243,High School,High,No,8
S1244,PhD,High,Yes,2
S1245,High School,High,Yes,10
S1246,Bachelor's,Medium,No,5
S1247,PhD,High,No,10
S1248,None,High,Yes,1
S1249,High School,Medium,Yes,3
S1250,None,High,No,1
S1251,PhD,Medium,Yes,2
S1252,None,Medium,No,4
S1253,PhD,High,No,6
S1254,Master's,High,Yes,1
S1255,None,High,No,9
S1256,Master's,Low,Yes,1
S1257,High School,High,Yes,8
S1258,None,Low,No,1
S1259,None,Medium,Yes,1
S1260,High School,Medium,No,8
S1261,None,High,No,2
S1262,PhD,High,No,1
S1263,Master's,High,No,7
S1264,Bachelor's,Low,No,1
S1265,PhD,Medium,No,4
S1266,Bachelor's,Low,No,10
S1267,High School,High,No,10
S1268,High School,Low,No,9
S1269,None,Medium,Yes,10
S1270,PhD,High,No,3
S1271,Bachelor's,Low,No,6
S1272,Master's,Medium,Yes,10
S1273,PhD,High,Yes,9
S1274,High School,High,Yes,4
S1275,PhD,High,No,3
S1276,Master's,High,No,5
S1277,PhD,Low,Yes,7
S1278,None,Low,No,5
S1279,Master's,High,Yes,4
S1280,Bachelor's,High,Yes,1
S1281,High School,Low,No,6
S1282,PhD,Low,Yes,4
S1283,Master's,High,No,6
S1284,None,High,No,6
S1285,None,Low,No,4
S1286,Bachelor's,Low,Yes,8
S1287,High School,Low,No,4
S1288,None,Low,No,5
S1289,High School,High,No,5
S1290,Master's,Low,Yes,2
S1291,PhD,High,Yes,8
S1292,Bachelor's,Low,Yes,8
S1293,None,Low,Yes,10
S1294,PhD,Medium,Yes,8
S1295,None,Medium,Yes,1
S1296,Bachelor's,Medium,Yes,7
S1297,None,Low,No,3
S1298,Bachelor's,Medium,Yes,1
S1299,PhD,Medium,Yes,5
S1300,Master's,High,Yes,4
S1301,Bachelor's,Medium,Yes,7
S1302,Master's,Medium,No,1
S1303,High School,High,Yes,1
S1304,PhD,Low,No,8
S1305,Bachelor's,Medium,Yes,4
S1306,PhD,High,Yes,9
S1307,Master's,High,No,10
S1308,Master's,Medium,Yes,10
S1309,PhD,High,Yes,5
S1310,PhD,Medium,Yes,6
S1311,Master's,Low,No,2
S1312,PhD,Medium,Yes,3
S1313,Master's,Low,No,7
S1314,High School,High,Yes,7
S1315,Master's,High,No,6
S1316,None,Low,Yes,4
S1317,Master's,Medium,Yes,10
S1318,High School,Medium,No,4
S1319,Master's,Medium,No,8
S1320,PhD,High,Yes,9
S1321,High School,High,Yes,8
S1322,Bachelor's,Low,No,8
S1323,Master's,Medium,No,5
S1324,PhD,High,Yes,2
S1325,Bachelor's,High,Yes,10
S1326,Bachelor's,High,No,2
S1327,Bachelor's,Low,Yes,2
S1328,None,High,No,6
S1329,PhD,Low,Yes,10
S1330,None,Low,Yes,5
S1331,PhD,Low,Yes,4
S1332,PhD,Medium,Yes,4
S1333,High School,Medium,Yes,8
S1334,Bachelor's,High,No,10
S1335,Master's,Medium,No,2
S1336,High School,Medium,No,5
S1337,Master's,High,Yes,7
S1338,Bachelor's,Low,No,7
S1339,PhD,Low,Yes,8
S1340,High School,High,Yes,3
S1341,None,High,Yes,2
S1342,PhD,Medium,Yes,8
S1343,None,Low,No,9
S1344,PhD,Medium,Yes,1
S1345,PhD,Low,Yes,9
S1346,Bachelor's,Low,No,8
S1347,High School,Medium,Yes,7
S1348,Master's,Low,No,8
S1349,Bachelor's,Low,No,3
S1350,Master's,Low,No,2
S1351,PhD,Medium,No,4
S1352,None,Medium,Yes,7
S1353,Master's,High,No,2
S1354,None,Low,Yes,7
S1355,Master's,Low,Yes,7
S1356,None,Low,No,10
S1357,Bachelor's,Medium,Yes,9
S1358,Master's,Low,Yes,3
S1359,Bachelor's,Medium,No,9
S1360,Bachelor's,Medium,No,7
S1361,None,Medium,Yes,8
S1362,Master's,Medium,No,3
S1363,Master's,High,Yes,5
S1364,High School,Medium,No,7
S1365,None,High,No,8
S1366,Master's,Medium,Yes,6
S1367,PhD,Medium,Yes,6
S1368,High School,Low,Yes,5
S1369,Master's,Medium,No,4
S1370,None,Low,No,7
S1371,PhD,Medium,Yes,10
S1372,Master's,High,No,5
S1373,Bachelor's,High,Yes,8
S1374,Bachelor's,High,No,1
S1375,PhD,Medium,Yes,8
S1376,PhD,Low,Yes,5
S1377,PhD,Medium,No,4
S1378,PhD,Low,No,6
S1379,None,High,No,7
S1380,Bachelor's,Low,Yes,3
S1381,Master's,High,Yes,4
S1382,Master's,Low,No,7
S1383,Bachelor's,Low,Yes,7
S1384,Master's,Low,Yes,3
