Student_ID,Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Projects_Score,Total_Score,Grade
S1000,40.61,59.61,73.69,53.17,62.84,59.8865,F
S1001,57.27,74,74.23,98.23,98.23,81.917,B
S1002,41.84,63.85,85.85,50,91.22,67.717,D
S1003,45.65,44.44,68.1,66.27,55.48,51.6535,F
S1004,53.13,61.77,67.66,83.98,87.43,71.403,C
S1005,70.21,64.48,87.85,52.26,67.65,68.09,D
S1006,90.85,93.74,89,54.17,87.51,82.8575,B
S1007,91.72,59.47,50.72,53.83,90.04,71.3685,C
S1008,76.97,62.75,57.19,79.08,57.57,65.8605,D
S1009,95.69,86.97,60.65,94.8,83.09,82.7555,B
S1010,70,85.54,67.58,77.77,93.14,79.986,C
S1011,93.34,87.9,64.57,80.18,66.17,77.6705,C
S1012,67.24,97.23,83.43,67.3,54.02,70.909,C
S1013,56.63,87.73,91.41,50.94,51.36,66.7105,D
S1014,94.98,64.46,59.6,51.08,55.5,63.7,D
S1015,63.28,89.29,78.15,94.42,50.21,70.567,C
S1016,70.2,70.52,68.39,55.13,66.35,68.4415,D
S1017,59.73,56.66,75.29,99.99,64.97,65.373,D
S1018,79.77,58.18,81.04,58.22,55.52,61.4295,D
S1019,99.7,53.43,94.68,83.73,82.56,80.2355,B
S1020,41.53,48.7,59.61,97.45,99.6,68.056,D
S1021,93.99,51.07,54.35,68.11,95.05,72.2395,C
S1022,40.24,43.79,81.36,86.72,62.64,59.3065,F
S1023,61.85,93.31,69.71,67.54,88.5,81.2455,B
S1024,50.12,95.86,58.15,65.25,96.84,78.4575,C
S1025,85.44,75.21,55.85,60.09,95.32,76.841,C
S1026,43.04,90.43,77.95,91.05,94.23,81.05,B
S1027,73.21,51.01,65.02,62.87,89.32,71.425,C
S1028,57.7,94.1,99.87,64.16,64.65,77.0615,C
S1029,48.02,70.38,70.3,99.95,54.18,62.437,D
S1030,86.31,44.03,60.61,66.37,74.39,66.0145,D
S1031,53.05,48.48,81.44,71.14,52.74,59.4345,F
S1032,53.42,58.54,62.21,99.5,99.92,75.3605,C
S1033,56.5,42.61,74.7,68.47,67.92,60.8405,D
S1034,75.21,58.56,74.13,68.31,97.92,75.453,C
S1035,79.58,43.6,72.68,91.39,88.66,72.686,C
S1036,41.06,54.16,89.8,65.6,70.56,64.587,D
S1037,54.51,55.94,60.83,61.69,55.92,54.846,F
S1038,65.86,99.66,95.22,71.16,61.86,76.036,C
S1039,59.92,54.13,89.57,85.03,83.65,70.524,C
S1040,93.05,54.35,66.66,52.16,91.5,74.415,C
S1041,87.26,81.21,59.03,68.7,98.97,82.207,B
S1042,77.55,91.56,63.98,67.31,56.61,70.0885,C
S1043,60.28,63.22,66.63,62.24,57.8,62.5355,D
S1044,82.04,92.54,77.85,82.71,52.12,74.6105,C
S1045,90.62,60.41,52.32,64.5,63.02,66.4695,D
S1046,75.69,51.82,95.72,80.34,91.05,74.4005,C
S1047,87.07,59.78,54.93,75.22,59.91,64.285,D
S1048,84.95,76.56,63.96,60.86,77.39,74.3145,C
S1049,74.3,62.03,55.46,63.33,72.32,64.0355,D
S1050,58.73,80.37,62.83,58.53,66.29,65.7015,D
S1051,84.75,54.22,91.88,52.83,80.92,71.7035,C
S1052,52.41,82.06,80.76,80.96,75.12,75.0925,C
S1053,86.77,60.85,61.37,83.64,66.74,68.2895,D
S1054,88.27,67.35,93.59,58.3,84.44,77.7435,C
S1055,89.33,73.46,90.04,80.77,64,74.7025,C
S1056,68.37,81.17,87.68,99.1,82.16,79.403,C
S1057,51.55,54.32,92.38,53.72,97.86,74.5145,C
S1058,45.98,90.16,80.98,74.52,86.45,76.561,C
S1059,84.6,83.31,75.07,86.65,70.92,77.554,C
S1060,93.18,54.05,68.7,52.3,87.38,69.9835,D
S1061,79.05,98.5,61.19,88.91,90.46,83.86,B
S1062,48.65,79.89,77.87,98.98,66.29,73.2555,C
S1063,96.09,67.15,94.47,54.42,85.26,81.3665,B
S1064,99.35,49.45,79.7,91.11,71.72,71.657,C
S1065,66,71.99,95.98,68.93,90.93,77.2365,C
S1066,75.69,49.89,67.85,57.21,64.77,60.7255,D
S1067,86.63,65.77,84.76,74.66,96.89,80.319,B
S1068,84.18,64.52,82.43,53.58,78.74,73.3265,C
S1069,98.07,83.2,83.52,76.11,67.67,78.4305,C
S1070,46.89,51.54,82.25,50.97,70.97,62.484,D
